year_built,property_id,lot_sqft,sqft,baths,garages,beds,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
1978,7157038259,14375,2457,2,0,4,301804.4686227,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2015,9053510595,7804,1794,2,2,3,321857.4254205781,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
2019,6099173135,44867,1155,2,0,3,315159.1268387802,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0
1961,8185678698,9583,1681,2,1,3,301804.4686227,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
1935,9536548761,6297,526,1,0,1,1620605.566436008,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
1976,4230356406,7841,2061,3,1,4,260039.7894339016,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1
2005,9265089977,14375,4015,4,3,4,581791.4685381014,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0
2003,5172497602,10036,2204,3,2,4,321857.4254205781,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1
2002,2410748299,2614,1260,3,1,3,532575.9251274393,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
1973,3958063180,436,1509,2,0,4,306752.632479663,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1
2005,4017425811,11326,2246,3,2,3,234192.1707274125,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0
1920,3359641175,3920,3116,3,0,7,679592.8523411672,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
1978,7007270992,15028,799,2,0,3,218214.8821925359,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1
1983,5395499051,1363,1364,3,2,2,544855.9814078703,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0
1976,8556489499,9727,1921,3,2,3,262575.01710244524,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0
1987,7435305681,29621,3288,4,2,4,178614.57760867866,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0
1943,2284855875,8050,1793,2,2,3,581791.4685381014,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
1972,1081764143,43996,2029,3,6,3,532575.9251274393,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0
1986,6665149008,11282,1788,2,0,4,413109.0863589908,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0
1950,5080867070,8834,1849,2,0,4,544855.9814078703,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0
1923,4721026003,10890,1894,2,1,3,358215.94070645963,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1
2017,9408442388,2570,2569,3,3,2,544855.9814078703,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1
