year_built,permalink,property_id,listing,primary_photo,sold_date,lot_sqft,sqft,baths,garages,beds,postal_code,state,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
1995,1516-NW-144th-St_Edmond_OK_73013_M81699-27433,8169927433,2961523085,https://ap.rdcpix.com/23fdf6363e96f8b843a5f694a4df05c5l-m1144525269s-w1024_h768.jpg,2024-01-12,10799,2535,3,3,4,73013,Oklahoma,Edmond,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0
1962,8470-Corona-St_Denver_CO_80229_M25659-21115,2565921115,2960145891,https://ap.rdcpix.com/b75cd7d9486f75274cd7d06febaddcaal-b3667858855s-w1024_h768.jpg,2023-11-21,7600,2028,2,1,5,80229,Colorado,Denver,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0
1927,4001-Cedar-Hill-Rd_Little-Rock_AR_72205_M84902-56394,8490256394,2960749624,https://ap.rdcpix.com/0964e7bc6aedc566c1d2daf6cc03baf3l-m653987138s-w1024_h768.jpg,2024-01-10,5227,4596,3,0,4,72205,Arkansas,Little Rock,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1978,4705-Yorkshire-Dr-SE_Olympia_WA_98513_M16522-73104,1652273104,2960787953,https://ap.rdcpix.com/0850e19e0793120e2bd666c56acf23f0l-m2257326413s-w1024_h768.jpg,2024-01-02,88867,2002,3,4,4,98513,Washington,Olympia,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
1898,134-Brown-St_Hartford_CT_06114_M42041-31821,4204131821,2960709911,https://ap.rdcpix.com/c7907ec4e28b78a5d095cd386138de16l-b936944203s-w1024_h768.jpg,2023-12-14,6098,1510,2,1,2,6114,Connecticut,Hartford,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1925,1769-Hillcrest-Ave_Saint-Paul_MN_55116_M86133-91934,8613391934,2960615964,https://ap.rdcpix.com/0e3aba514ab196708ec4ac183f51234cl-b2291147631s-w1024_h768.jpg,2024-01-12,7710,2649,2,2,4,55116,Minnesota,Saint Paul,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1
1928,1847-Forster-St_Harrisburg_PA_17103_M49927-37614,4992737614,2962785633,https://ap.rdcpix.com/3a8c8adecd8ef9b450b0d35956cfc42bl-m938112377s-w1024_h768.jpg,2024-01-10,2178,1080,1,0,2,17103,Pennsylvania,Harrisburg,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1920,15-Magdalene-St_Providence_RI_02909_M49127-59339,4912759339,2960899935,https://ap.rdcpix.com/1c0daee81a82140422b27d36ebe25f5bl-m3093872640s-w1024_h768.jpg,2024-01-12,3920,3150,3,0,6,2909,Rhode Island,Providence,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1958,3026-Baker-Hill-Rd_Columbus_OH_43207_M43037-60561,4303760561,2959978769,https://ap.rdcpix.com/bde37ec2d08dfa5a7531cfe4b1f977dcl-m3383828098s-w1024_h768.jpg,2023-12-07,5998,1200,1,2,3,43207,Ohio,Columbus,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0
1975,4530-Shamrock-Ct_Montgomery_AL_36106_M79609-19056,7960919056,2958308289,https://ap.rdcpix.com/fddcfd2ea4cc1c075b6427f19e578b38l-m2052762775s-w1024_h768.jpg,2023-12-30,17280,2240,2,0,3,36106,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
2023,11712-NW-105th-St_Yukon_OK_73099_M92986-48462,9298648462,2961470726,https://ap.rdcpix.com/40336fdab84f1609de8e6b49d381643bl-m1536903178s-w1024_h768.jpg,2024-01-12,9239,2075,3,3,4,73099,Oklahoma,Yukon,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0
