year_built,property_id,sold_date,lot_sqft,sqft,baths,garages,beds,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
1995,8169927433,2024-01-12,10799,2535,3,3,4,Edmond,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0
1962,2565921115,2023-11-21,7600,2028,2,1,5,Denver,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0
1927,8490256394,2024-01-10,5227,4596,3,0,4,Little Rock,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1978,1652273104,2024-01-02,88867,2002,3,4,4,Olympia,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
1898,4204131821,2023-12-14,6098,1510,2,1,2,Hartford,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1925,8613391934,2024-01-12,7710,2649,2,2,4,Saint Paul,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1
1928,4992737614,2024-01-10,2178,1080,1,0,2,Harrisburg,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1920,4912759339,2024-01-12,3920,3150,3,0,6,Providence,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1958,4303760561,2023-12-07,5998,1200,1,2,3,Columbus,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0
1975,7960919056,2023-12-30,17280,2240,2,0,3,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
2023,9298648462,2024-01-12,9239,2075,3,3,4,Yukon,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0
2001,1568791095,2024-01-05,4792,1208,2,2,3,Salem,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0
1929,4683825605,2024-01-05,7405,3834,3,3,7,Hartford,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1983,3809024878,2024-01-08,7876,4952,2,2,2,Providence,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0
2007,9774716745,2023-12-06,21970,4182,4,4,3,Dover,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0
1950,3138565083,2024-01-03,10001,2450,2,2,4,Providence,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0
1930,4210278286,2024-01-09,3920,1608,3,2,5,Albany,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1
2003,8146083955,2023-09-26,9583,2066,2,0,3,Antioch,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1
1950,5537355269,2024-01-12,7841,1431,2,0,4,Henrico,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1961,4896527437,2023-12-29,11761,1312,1,0,3,Lansing,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1
2017,1840285103,2024-01-05,50965,2573,5,9,3,Carson City,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0
1966,7994001276,2024-01-04,7405,1200,2,1,3,Madison,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1
1940,3523646630,2024-01-12,3920,728,1,0,2,Harrisburg,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0
1929,7301272191,2024-01-08,6098,1872,2,2,4,Madison,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
1900,9206691883,2024-01-05,2178,2850,3,0,3,Albany,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1986,2260911850,2024-01-11,10659,1440,2,2,2,Olympia,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
2004,5830508890,2024-01-11,871,1209,3,0,3,Tallahassee,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1
1919,7336508531,2024-01-08,5140,571,2,1,1,Saint Paul,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1922,5465583510,2024-01-12,11539,1292,2,0,3,Richmond,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,4833837899,2023-12-16,6970,1360,1,2,2,Indianapolis,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1901,7439618807,2024-01-08,12197,3857,3,0,4,Des Moines,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0
1939,8586763935,2024-01-12,5968,1600,1,2,3,Saint Paul,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1
1978,8192286356,2024-01-03,3920,1431,2,2,3,Madison,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1
1978,7899123899,2024-01-01,26136,1500,2,0,4,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2010,5929860536,2024-01-08,1699,1700,3,2,3,Atlanta,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1
1928,7618994587,2024-01-12,8233,910,1,0,1,Des Moines,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0
1987,4198618753,2023-12-29,3049,1476,3,2,2,Harrisburg,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1
1945,5435818171,2024-01-10,6251,783,1,0,2,Richmond,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1995,6669577022,2024-01-12,6098,1893,2,2,4,Tallahassee,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0
1975,7088026289,2024-01-05,14375,1034,2,2,3,Des Moines,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
1979,3484546769,2024-01-09,8276,1921,2,0,3,Lansing,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1
1952,1573669785,2024-01-05,14375,1793,2,2,4,Salem,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
1968,8310899358,2024-01-12,6970,1269,2,2,3,Oklahoma City,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1957,1338419336,2024-01-05,30300,2238,2,2,2,Olympia,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0
1956,4094261184,2024-01-05,14810,1290,1,1,3,Guilderland,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1
2004,1553861974,2024-01-08,4791,1276,2,2,3,Salem,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0
2000,3741790117,2023-10-11,5663,1469,3,2,3,Columbus,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0
1986,7012948010,2024-01-10,6970,1650,2,0,3,Montgomery,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1999,3517114695,2023-12-19,145490,1250,2,0,3,Frankfort,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1915,5659664478,2024-01-16,8712,4179,5,0,6,Raleigh,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
2004,6773104713,2023-12-13,14504,3085,3,0,5,Dover,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
1950,4356156048,2023-12-05,12197,1822,1,1,3,Indianapolis,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
1989,5787029564,2024-01-11,14331,1884,3,1,4,Henrico,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0
2014,7566547035,2024-01-16,7148,1787,2,2,3,Oklahoma City,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0
2003,3006648843,2023-12-20,10890,3240,3,2,4,Indianapolis,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0
2021,9025673962,2023-11-30,27831,2770,3,2,4,Dover,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0
1986,3041410965,2024-01-16,1620,1620,2,0,2,Boston,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
1941,2818366785,2023-12-29,13068,1891,3,2,3,Salem,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0
1978,7899123899,2024-01-01,26136,1500,2,0,4,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1995,1703290179,2024-01-10,11800,2700,3,3,3,Olympia,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
1985,1503220706,2023-12-28,2209,1072,2,0,3,Olympia,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
1972,4471993819,2024-01-08,4617,1442,2,0,4,Lansing,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
1989,3953654826,2023-09-19,14375,1520,3,2,4,Indianapolis,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0
1956,7507880814,2024-01-12,7841,858,1,1,3,Midwest City,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1
1921,7778206066,2024-01-05,5401,884,1,0,2,Des Moines,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
1914,5323600147,2023-12-22,1412,1101,1,0,3,Trenton,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
1956,7507880814,2024-01-12,7841,858,1,1,3,Midwest City,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1
1966,7994001276,2024-01-04,7405,1200,2,1,3,Madison,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1
1940,5755272500,2024-01-12,7349,1775,2,0,3,Richmond,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
1952,8225042386,2024-01-09,8015,720,1,1,2,Des Moines,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
1994,7194045969,2024-01-03,13747,2069,2,2,4,Montgomery,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
1898,4204131821,2023-12-14,6098,1510,2,1,2,Hartford,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1967,5370120180,2024-01-10,11761,1973,3,1,4,Raleigh,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
1940,4809329776,2023-12-22,22695,1970,2,0,3,Frankfort,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1960,6357801772,2023-12-06,6822,2306,2,0,3,Dover,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
1992,7613907342,2024-01-05,8712,1600,2,2,3,Little Rock,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1842,4100989841,2023-09-25,15246,3768,3,0,0,Concord,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1
1999,6000992752,2024-01-08,1124,2172,4,2,4,Atlanta,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
2020,9678401203,2023-08-01,7405,1878,2,2,3,Elgin,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0
1989,4679730937,2024-01-10,1200,1200,2,1,2,Boston,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0
1977,2591419335,2023-12-26,37462,2903,3,2,3,Phoenix,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
2007,7539003317,2024-01-11,9583,1386,2,2,3,Mabelvale,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1995,6291671935,2024-01-16,11761,1323,2,1,3,Raleigh,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0
1958,7691387118,2024-01-08,9583,2022,3,2,3,Madison,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
1940,1855795715,2024-01-11,4791,1719,1,1,3,Salem,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0
2003,8020834987,2024-01-08,8276,1678,2,0,3,Little Rock,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
1979,7121048958,2024-01-12,8377,1645,2,2,3,Oklahoma City,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
1995,6237481843,2024-01-12,4356,1230,3,0,2,Raleigh,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
