,year_built,permalink,list_price,property_id,listing,primary_photo,sold_date,sold_price,lot_sqft,sqft,baths,garages,beds,postal_code,state,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
31,1945,2326-Winona-Ave_Montgomery_AL_36107_M77279-81021,88000.0,7727981021,2961522977,https://ap.rdcpix.com/a5fe1391acf35d43ee6d825ce86f8115l-m2469028399s-w1024_h768.jpg,2024-01-16,88500.0,6534,1389,2,1,4,36107,Alabama,Montgomery,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
33,1955,611-Glenmore-Rd_Montgomery_AL_36107_M72316-04965,68000.0,7231604965,2957379146,https://ap.rdcpix.com/c41ec0e28b89fa84db6d75df3a75895fl-m2353506347s-w1024_h768.jpg,2024-01-16,65000.0,9712,1432,2,0,3,36107,Alabama,Montgomery,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
34,1984,1819-E-Trinity-Blvd_Montgomery_AL_36106_M77006-90979,169999.0,7700690979,2960975584,https://ap.rdcpix.com/1e4bac70e24f789842a6663b5314bb24l-m1823199980s-w1024_h768.jpg,2024-01-12,169000.0,10890,1804,2,0,3,36106,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1999,1112-Sandlewood-Ct_Montgomery_AL_36117_M87985-05230,189900.0,8798505230,2962329566,https://ap.rdcpix.com/61c1ed5b3aaa88ab80efcc49412241afl-m1501411809s-w1024_h768.jpg,2024-01-12,180000.0,12632,1476,2,0,3,36117,Alabama,Montgomery,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0
36,2001,545-Ridge-Park-Dr_Montgomery_AL_36117_M71177-99851,254999.0,7117799851,2961991525,https://ap.rdcpix.com/686d934c4cdfa68e232633d5f6aeb101l-m1822167428s-w1024_h768.jpg,2024-01-12,260000.0,12632,1888,2,0,4,36117,Alabama,Montgomery,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0
37,1962,4275-Sunshine-Dr_Montgomery_AL_36116_M89229-76627,75000.0,8922976627,2952735222,https://ap.rdcpix.com/ef5ee786ae1446e742997757c4150decl-m62694281s-w1024_h768.jpg,2024-01-12,60000.0,13068,1722,2,0,3,36116,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1965,817-Dumont-Dr_Montgomery_AL_36109_M82240-34280,159000.0,8224034280,2962073853,https://ap.rdcpix.com/1ef4821fcf16029021d658c2db0e28b9l-m129105455s-w1024_h768.jpg,2024-01-12,159000.0,11326,1635,2,2,3,36109,Alabama,Montgomery,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0
39,1974,1380-Cantelou-Rd_Montgomery_AL_36108_M90991-19141,424900.0,9099119141,2959272543,https://ap.rdcpix.com/43f3585656821593959c92c35f9706efl-b3477118368s-w1024_h768.jpg,2024-01-12,424900.0,740520,3339,3,0,3,36108,Alabama,Montgomery,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0
41,1969,369-Kroy-Dr_Montgomery_AL_36117_M77887-90816,140000.0,7788790816,2962320837,https://ap.rdcpix.com/12a7a90ae37bc922786e1b376ba4cc52l-m1145087508s-w1024_h768.jpg,2024-01-12,140000.0,14375,1576,2,0,3,36117,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,1954,3725-Dalraida-Pkwy_Montgomery_AL_36109_M75023-73005,149900.0,7502373005,2962528957,https://ap.rdcpix.com/afc556e71f380177925a6cb62f4d0b9el-m2457081295s-w1024_h768.jpg,2024-01-12,149900.0,13504,1736,1,0,3,36109,Alabama,Montgomery,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0
43,1966,1109D-E-Nixon-Ave_Montgomery_AL_36104_M90664-70079,50000.0,9066470079,2962546121,https://ap.rdcpix.com/9924cfbadbb7f58c86308fcd3f5b624fl-m1101185229s-w1024_h768.jpg,2024-01-12,45000.0,4356,1434,1,0,2,36104,Alabama,Montgomery,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,2006,8979-Pennington-Pl_Montgomery_AL_36117_M75827-27824,320000.0,7582727824,2959156747,https://ap.rdcpix.com/3f90cdabc4c809f4fa1bab1a9c9f69e3l-b3996110015s-w1024_h768.jpg,2024-01-11,310000.0,13068,2134,2,2,4,36117,Alabama,Montgomery,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1
45,1986,3139-Sutton-Dr_Montgomery_AL_36111_M70129-48010,145000.0,7012948010,2960865829,https://ap.rdcpix.com/c79ab0203ab07b75961087a8da4576eal-b3801220453s-w1024_h768.jpg,2024-01-10,147000.0,6970,1650,2,0,3,36111,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
46,1968,5728-Carriage-Hills-Dr_Montgomery_AL_36116_M74740-45814,215000.0,7474045814,2958028203,https://ap.rdcpix.com/0fb0892ae99e35a037e46c14d9210eafl-m3337937336s-w1024_h768.jpg,2024-01-10,195000.0,16553,2264,2,2,5,36116,Alabama,Montgomery,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0
47,1968,4760-Queensbury-Ct_Montgomery_AL_36116_M81606-53135,136000.0,8160653135,2961502665,https://ap.rdcpix.com/657c8bb805ac466f65c35abbf0280f15l-m3716669313s-w1024_h768.jpg,2024-01-09,136000.0,16988,1752,2,2,3,36116,Alabama,Montgomery,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
48,1958,1313-Adrian-Ln_Montgomery_AL_36111_M73159-20123,31500.0,7315920123,2963067396,https://ap.rdcpix.com/558260924a958b13ebfadc6f55f97d8el-m3617901769s-w1024_h768.jpg,2024-01-09,31500.0,11326,961,1,0,3,36111,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
49,1967,511-E-Moye-Dr_Montgomery_AL_36109_M86565-36510,184900.0,8656536510,2961407982,https://ap.rdcpix.com/507ad2927a9339560b3ad0e2cd538a31l-m1808079882s-w1024_h768.jpg,2024-01-08,178000.0,12632,1892,2,0,4,36109,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
50,1975,729-Ledyard-Pl_Montgomery_AL_36109_M81829-35020,169900.0,8182935020,2962227212,https://ap.rdcpix.com/c51a6a656aece95d96a00d160fb8be87l-m364873135s-w1024_h768.jpg,2024-01-08,172500.0,11326,1699,2,0,4,36109,Alabama,Montgomery,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1
51,1962,540-Seibles-Rd_Montgomery_AL_36116_M74638-46561,159000.0,7463846561,2960840384,https://ap.rdcpix.com/8475783f8e68aa2647f11714670c67bal-m3352885094s-w1024_h768.jpg,2024-01-08,150000.0,67954,1833,2,2,3,36116,Alabama,Montgomery,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
52,1945,7370-Narrow-Lane-Rd_Montgomery_AL_36116_M94388-57823,180000.0,9438857823,2959489307,https://ap.rdcpix.com/db0008abd1e8694dbc1a432cca961a96l-m3474430148s-w1024_h768.jpg,2024-01-08,170000.0,313632,3092,3,0,3,36116,Alabama,Montgomery,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
53,1957,4006-Marquette-Dr_Montgomery_AL_36109_M81639-98846,125000.0,8163998846,2961396128,https://ap.rdcpix.com/98113967cb2fcc6a2b9a4e48c6e7cc2dl-m4232325385s-w1024_h768.jpg,2024-01-05,125000.0,12632,1380,1,0,3,36109,Alabama,Montgomery,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
