,year_built,tags,permalink,status,list_price,property_id,listing,primary_photo,sold_date,sold_price,lot_sqft,sqft,baths,garages,beds,postal_code,state,city
0,1963.0,"['carport', 'community_outdoor_space', 'cul_de_sac', 'family_room', 'hardwood_floors', 'hill_or_mountain_view', 'recreation_facilities', 'rv_or_boat_parking', 'basement', 'garage_1_or_more', 'two_or_more_stories', 'big_yard', 'high_ceiling', 'efficient', 'trails', 'shopping']",9453-Herbert-Pl_Juneau_AK_99801_M90744-30767,sold,554950.0,9074430767,2957241843,https://ap.rdcpix.com/07097d34c98a59ebb799688986ef271dl-m2867511255s-w1024_h768.jpg,2023-09-18,,10454.0,1821.0,2.0,1.0,3.0,99801,Alaska,Juneau
1,,,8477-Thunder-Mountain-Rd_Juneau_AK_99801_M94249-83842,sold,,9424983842,,,2023-08-22,,,,,,,99801,Alaska,Juneau
2,,,4515-Glacier-Hwy_Juneau_AK_99801_M94790-68516,sold,,9479068516,,,2023-08-22,,,,,,,99801,Alaska,Juneau
3,,,17850-Point-Stephens-Rd_Juneau_AK_99801_M98793-31943,sold,,9879331943,,,2023-08-21,,,,,,,99801,Alaska,Juneau
4,,,9951-Stephen-Richards-Memorial-Dr_Juneau_AK_99801_M95216-39574,sold,,9521639574,,,2023-08-21,,,,,,,99801,Alaska,Juneau
5,1969.0,"['carport', 'hill_or_mountain_view', 'ocean_view', 'single_story', 'waterfront', 'open_floor_plan', 'floor_plan', 'rental_property', 'furniture', 'new_roof', 'beach']",11909-Glacier-Hwy-Apt-105_Juneau_AK_99801_M74123-09719,sold,415000.0,7412309719,2958925334,,2023-08-04,,,950.0,1.0,,2.0,99801,Alaska,Juneau
6,1920.0,"['city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'hill_or_mountain_view', 'lake_view', 'ocean_view', 'river_view', 'spa_or_hot_tub', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories', 'vaulted_ceiling', 'media_room', 'ensuite', 'private_courtyard', 'trails']",808-5th-St_Juneau_AK_99801_M76604-90777,sold,835000.0,7660490777,2958924095,,2023-08-03,,5875.0,3860.0,3.0,2.0,5.0,99801,Alaska,Juneau
7,2002.0,,4446-Trafalgar-Ave_Juneau_AK_99801_M82741-21172,sold,,8274121172,,,2023-07-21,,7476.0,1375.0,2.0,,3.0,99801,Alaska,Juneau
8,,,8477-Thunder-Mountain-Rd_Juneau_AK_99801_M94249-83842,sold,,9424983842,,,2023-08-22,,,,,,,99801,Alaska,Juneau
9,,,4515-Glacier-Hwy_Juneau_AK_99801_M94790-68516,sold,,9479068516,,,2023-08-22,,,,,,,99801,Alaska,Juneau
10,,,17850-Point-Stephens-Rd_Juneau_AK_99801_M98793-31943,sold,,9879331943,,,2023-08-21,,,,,,,99801,Alaska,Juneau
11,,,9951-Stephen-Richards-Memorial-Dr_Juneau_AK_99801_M95216-39574,sold,,9521639574,,,2023-08-21,,,,,,,99801,Alaska,Juneau
12,1969.0,"['carport', 'hill_or_mountain_view', 'ocean_view', 'single_story', 'waterfront', 'open_floor_plan', 'floor_plan', 'rental_property', 'furniture', 'new_roof', 'beach']",11909-Glacier-Hwy-Apt-105_Juneau_AK_99801_M74123-09719,sold,415000.0,7412309719,2958925334,,2023-08-04,,,950.0,1.0,,2.0,99801,Alaska,Juneau
13,1920.0,"['city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'hill_or_mountain_view', 'lake_view', 'ocean_view', 'river_view', 'spa_or_hot_tub', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories', 'vaulted_ceiling', 'media_room', 'ensuite', 'private_courtyard', 'trails']",808-5th-St_Juneau_AK_99801_M76604-90777,sold,835000.0,7660490777,2958924095,,2023-08-03,,5875.0,3860.0,3.0,2.0,5.0,99801,Alaska,Juneau
14,2002.0,,4446-Trafalgar-Ave_Juneau_AK_99801_M82741-21172,sold,,8274121172,,,2023-07-21,,7476.0,1375.0,2.0,,3.0,99801,Alaska,Juneau
15,,,4515-Glacier-Hwy_Juneau_AK_99801_M94790-68516,sold,,9479068516,,,2023-08-22,,,,,,,99801,Alaska,Juneau
16,,,17850-Point-Stephens-Rd_Juneau_AK_99801_M98793-31943,sold,,9879331943,,,2023-08-21,,,,,,,99801,Alaska,Juneau
17,,,9951-Stephen-Richards-Memorial-Dr_Juneau_AK_99801_M95216-39574,sold,,9521639574,,,2023-08-21,,,,,,,99801,Alaska,Juneau
18,1969.0,"['carport', 'hill_or_mountain_view', 'ocean_view', 'single_story', 'waterfront', 'open_floor_plan', 'floor_plan', 'rental_property', 'furniture', 'new_roof', 'beach']",11909-Glacier-Hwy-Apt-105_Juneau_AK_99801_M74123-09719,sold,415000.0,7412309719,2958925334,,2023-08-04,,,950.0,1.0,,2.0,99801,Alaska,Juneau
19,1920.0,"['city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'hill_or_mountain_view', 'lake_view', 'ocean_view', 'river_view', 'spa_or_hot_tub', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories', 'vaulted_ceiling', 'media_room', 'ensuite', 'private_courtyard', 'trails']",808-5th-St_Juneau_AK_99801_M76604-90777,sold,835000.0,7660490777,2958924095,,2023-08-03,,5875.0,3860.0,3.0,2.0,5.0,99801,Alaska,Juneau
20,2002.0,,4446-Trafalgar-Ave_Juneau_AK_99801_M82741-21172,sold,,8274121172,,,2023-07-21,,7476.0,1375.0,2.0,,3.0,99801,Alaska,Juneau
21,,,17850-Point-Stephens-Rd_Juneau_AK_99801_M98793-31943,sold,,9879331943,,,2023-08-21,,,,,,,99801,Alaska,Juneau
22,,,9951-Stephen-Richards-Memorial-Dr_Juneau_AK_99801_M95216-39574,sold,,9521639574,,,2023-08-21,,,,,,,99801,Alaska,Juneau
23,1969.0,"['carport', 'hill_or_mountain_view', 'ocean_view', 'single_story', 'waterfront', 'open_floor_plan', 'floor_plan', 'rental_property', 'furniture', 'new_roof', 'beach']",11909-Glacier-Hwy-Apt-105_Juneau_AK_99801_M74123-09719,sold,415000.0,7412309719,2958925334,,2023-08-04,,,950.0,1.0,,2.0,99801,Alaska,Juneau
24,1920.0,"['city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'hill_or_mountain_view', 'lake_view', 'ocean_view', 'river_view', 'spa_or_hot_tub', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories', 'vaulted_ceiling', 'media_room', 'ensuite', 'private_courtyard', 'trails']",808-5th-St_Juneau_AK_99801_M76604-90777,sold,835000.0,7660490777,2958924095,,2023-08-03,,5875.0,3860.0,3.0,2.0,5.0,99801,Alaska,Juneau
25,2002.0,,4446-Trafalgar-Ave_Juneau_AK_99801_M82741-21172,sold,,8274121172,,,2023-07-21,,7476.0,1375.0,2.0,,3.0,99801,Alaska,Juneau
26,,,9951-Stephen-Richards-Memorial-Dr_Juneau_AK_99801_M95216-39574,sold,,9521639574,,,2023-08-21,,,,,,,99801,Alaska,Juneau
27,1969.0,"['carport', 'hill_or_mountain_view', 'ocean_view', 'single_story', 'waterfront', 'open_floor_plan', 'floor_plan', 'rental_property', 'furniture', 'new_roof', 'beach']",11909-Glacier-Hwy-Apt-105_Juneau_AK_99801_M74123-09719,sold,415000.0,7412309719,2958925334,,2023-08-04,,,950.0,1.0,,2.0,99801,Alaska,Juneau
28,1920.0,"['city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'hill_or_mountain_view', 'lake_view', 'ocean_view', 'river_view', 'spa_or_hot_tub', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories', 'vaulted_ceiling', 'media_room', 'ensuite', 'private_courtyard', 'trails']",808-5th-St_Juneau_AK_99801_M76604-90777,sold,835000.0,7660490777,2958924095,,2023-08-03,,5875.0,3860.0,3.0,2.0,5.0,99801,Alaska,Juneau
29,2002.0,,4446-Trafalgar-Ave_Juneau_AK_99801_M82741-21172,sold,,8274121172,,,2023-07-21,,7476.0,1375.0,2.0,,3.0,99801,Alaska,Juneau
30,1998.0,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard']",501-Moorfield-Ln_Montgomery_AL_36117_M88465-41030,sold,129900.0,8846541030,622475855,,2024-01-16,129900,11761.0,1478.0,2.0,2.0,3.0,36117,Alabama,Montgomery
